,current_location,current_work,previous_work,latest_Education,major,search_school,coordinate,state,county,city,fips
1609,Los Angeles  ,Vice Provost for Institutional Effectiveness and Strategic Analytics at San Jose State University,Director of Assessment and Institutional Research | Accreditation Liaison Officer at Scripps College,Claremont Graduate University,"Education (Emphasis: Educational Policy, Evaluation, and Reform)","University of California, Riverside","(34.0536909, -118.242766)",California,Los Angeles,Los Angeles,6037
1610,United States,Channel Marketing Manager at Amazon,Merchandising and Marketing Manager at VIZIO,EDC Paris Business School,International Luxury Brand Management,"University of California, Riverside","(39.7837304, -100.445882)",,,,
1611,"Murrieta, California, United States",Digital Product Manager at 7-Eleven,IT Support Manager at 7-Eleven,"University of California, Riverside",Art History,"University of California, Riverside","(33.577752399999994, -117.18845420205307)",California,Riverside,Murrieta,6065
1612, Reno ,"Consultant, Medi-Cal Enterprise Systems Modernization at California Department of Health Care Services",President at STEAM Initiative,California State University-Fullerton,Computer Science,"University of California, Riverside","(39.5261206, -119.8126581)",Nevada,Washoe,Reno,32031
1613,"Oakland, California, United States",Senior Director at Cruise,Director at Cruise,2001–2007,Electrical and Computer Engineering,"University of California, Riverside","(37.8044557, -122.2713563)",California,Alameda,Oakland,6001
1614,"Redwood City, California, United States",Principal Product Manager at Snowflake,"Product Lead - User Identity, Experiences, and Privacy at TikTok",USC Marshall School of Business,Economics,"University of California, Riverside","(37.4863239, -122.232523)",California,San Mateo,Redwood City,6081
1615,Los Angeles  ,Project Management at Insomniac Events,Associate Project Manager at Dream International USA,"University of California, Riverside",,"University of California, Riverside","(34.0536909, -118.242766)",California,Los Angeles,Los Angeles,6037
1616,,Talent Acquisition at TikTok,Recruitment Consultant at G2V Recruitment Group,"University of California, Riverside",Psychology,"University of California, Riverside",,,,,
1617,San Francisco Bay ,"Director, Assistant Controller at Headspace Health",Controller at Ginger,"University of California, Riverside",Business/Accounting,"University of California, Riverside","(37.71402905, -122.30779415179862)",California,San Mateo,,6081
1618,"Riverside, California, United States",Territory Business Manager at argenx,"Senior Executive Regional Account Manager, Neuroscience at Supernus Pharmaceuticals, Inc. (Formerly, US WorldMeds)",University of Redlands,Business Administration,"University of California, Riverside","(33.9459413, -117.41024442439222)",California,Riverside,Riverside,6065
1619,United States,Director Of Hardware Engineering at Syng,Embedded Hardware Engineering Lead at Virgin Hyperloop,University of Southern California - Marshall School of Business,Electrical and Electronics Engineering,"University of California, Riverside","(39.7837304, -100.445882)",,,,
1620, Chicago ,CEO and Founder of RK Empathy at RK Empathy,Leadership Development Consultant at McDonald's,The Chicago School of Professional Psychology,Industrial and Organizational Psychology,"University of California, Riverside","(41.8755616, -87.6244212)",Illinois,Cook,Chicago,17031
1621,"Camarillo, California, United States","Director, FP&A - R&D at LinkedIn",Sr Manager Financial Planning & Analysis at lynda.com,2000–2002,Business Admin,"University of California, Riverside","(34.2176371, -119.0383541)",California,Ventura,,6111
1622,United States,Vice President - National Sales & Strategic Partnerships at LHH,Sr. Sales Director - National Accounts at LHH,"University of California, Riverside",Finance/Accounting,"University of California, Riverside","(39.7837304, -100.445882)",,,,
1623,,Laboratory Manager at Juul Labs,Procurement Administrator at Newegg,"University of California, Riverside",Business Administration and Management Information Systems,"University of California, Riverside",,,,,
1624,"San Diego, California, United States","Sr. Manager, Product Compliance & Sustainability at Dexcom","Senior Quality Engineer at pSemi, A Murata Company","University of California, Riverside",Chemical Engineering,"University of California, Riverside","(32.7174202, -117.1627728)",California,San Diego,San Diego,6073
1625,,Healthcare Recruiter and People Coordinator at Accel Therapies,HR Assistant at Kona Inn,"University of California, Riverside",Psychology,"University of California, Riverside",,,,,
1626,San Francisco Bay ,Director: Program Management and Portfolio Strategy at Applied Molecular Transport,Associate Director Project Management at Applied Molecular Transport,"University of California, Berkeley, Haas School of Business",Analytical Chemistry,"University of California, Riverside","(37.71402905, -122.30779415179862)",California,San Mateo,,6081
1627,"Washington,  of Columbia, United States",Director / Event Security Specialist at National Basketball Association (NBA),Special Agent in Charge / Special Advisor to the CSO / Resident Agent in Charge / Special Agent at United States Secret Service,"Arizona State University, Tempe, AZ",Emergency Management and Homeland Security,"University of California, Riverside","(38.8950368, -77.0365427)",District of Columbia,,Washington,
1628,"Tokyo, Tokyo, Japan","Project Manager at Monstarlab, Inc.",Scrum Master at Tata Consultancy Services,Meiji Gakuin University,International Studies,"University of California, Riverside","(35.6810912, 139.7671861)",,,千代田区,
1629,San Francisco Bay ,Chief Philanthropy Officer at Catholic Charities SF,"Vice President, Development at Goodwill Industry","University of California, Riverside",Political Science,"University of California, Riverside","(37.71402905, -122.30779415179862)",California,San Mateo,,6081
1630,"Irvine, California, United States",UX Writer / User Assistance Developer at SAP,Technical Writer at B. Braun Medical Inc. (US),"University of California, Riverside",Sociology/Law and Society,"University of California, Riverside","(33.6856969, -117.8259819)",California,Orange,Irvine,6059
1631,"New York, New York, United States",Data Engineer at McKinsey & Company,Senior Applications Consultant at Capgemini,"University of California, Riverside",Political Science,"University of California, Riverside","(40.7127281, -74.0060152)",New York,,New York,36061
1632,"Irvine, California, United States","Director, Program Management at Edwards Lifesciences","Senior Manager, Program Management at Edwards Lifesciences",1987–1991,Business Administration,"University of California, Riverside","(33.6856969, -117.8259819)",California,Orange,Irvine,6059
1633,"Barcelona, Catalonia, Spain",European HR&ADM Manager at IGG,North America HR Career Advisor at Accenture,ESIC Business & Marketing School,Direccion de RRHH por competencias/ HR Competencies,"University of California, Riverside","(41.3828939, 2.1774322)",Catalunya,Barcelonès,Barcelona,
1634,"Irvine, California, United States",,Behavior Interventionist at Irvine Unified School District,2020–2020,UX/UI Design,"University of California, Riverside","(33.6856969, -117.8259819)",California,Orange,Irvine,6059
1635,"Riverside, California, United States",Digital Sales Enablement Team Lead - Sales Development  at Esri,Digital Sales - Global Business Development at Esri,Stevens Institute of Technology,Business Intelligence & Analytics,"University of California, Riverside","(33.9459413, -117.41024442439222)",California,Riverside,Riverside,6065
1636,,,Clinical Laboratory Operations at Invitae,"University of California, Riverside","Biology, General","University of California, Riverside",,,,,
1637,,Trade and Insights Analyst at Bitchin'​ Sauce,"Dashboard Data Specialist at University of California, Riverside","University of California, Riverside",Finance,"University of California, Riverside",,,,,
1638,"San Francisco, California, United States",Partner at Tensegrity Law Group,Special Counsel at Tensegrity Law Group,UC Berkeley,Law,"University of California, Riverside","(37.7790262, -122.419906)",California,,San Francisco,6075
1639,"Riverside, California, United States",Broker/Realtor SFR at eXp Realty,"Realtor,CDPE,SFR at Carrington Real Estate Services","University of California, Riverside",Music Theory and Composition,"University of California, Riverside","(33.9459413, -117.41024442439222)",California,Riverside,Riverside,6065
1640,"Corona, California, United States","Business Broker, M&A Intermediary, Franchises at NAI Capital",,"University of California, Riverside","Management General, Finance, Management in Information technology","University of California, Riverside","(33.8752945, -117.5664449)",California,Riverside,Corona,6065
1641,"Sunnyvale, California, United States","Documentation, Developer Operation Policy - Launch & Readiness Pillar at Facebook",Marketing Manager at Taelor,National Chengchi University,Ethnology,"University of California, Riverside","(37.3688301, -122.036349)",California,Santa Clara,Sunnyvale,6085
1642,Los Angeles  ,Safety Manager at Panda Restaurant Group,Senior Risk Analyst at Panda Restaurant Group,Pasadena City College,Legal Assistant/Paralegal,"University of California, Riverside","(34.0536909, -118.242766)",California,Los Angeles,Los Angeles,6037
