,current_location,current_work,previous_work,latest_Education,major,search_school,current_company,previous_company,current_company_industry,previous_company_industry,current_NAICS,previous_NAICS,current_NAICS_title,current_avg_salary,previous_NAICS_title,latitude,longitude,state,county,city,fips
1211,San Francisco Bay ,"Managing Partner at Triangle Venture Partners, LLC","Co-Founder, COO at NextWorld, Inc",Education (same page),Management Science,Pennsylvania State,"Triangle Venture Partners, LLC","NextWorld, Inc",,,,,,,,37.714029,-122.307794,California,San Mateo,,06081
1212,"Richmond, Virginia, United States","Executive Director at Synergy Global Health Foundation, Inc.",Tenured Professor and Founding Chair Department of Biomedical Sciences at University of South Carolina School of Medicine Greenville,Penn State University,"Major: Nutrition Science; Minor Emphasis: Physiology, Statistics; Iron/Hematology/Ferrokinetics Lab.",Pennsylvania State,"Synergy Global Health Foundation, Inc.",University of South Carolina School of Medicine Greenville,,,,,,,,37.538509,-77.43428,Virginia,,Richmond,51159
1213,"Orlando, Florida, United States",Founder & CEO at The Emovation Project,Customer Experience & Employee Experience Leader at Strativity Group,2004–2008,Economics (BA); Political Science (BA); Sociology,Pennsylvania State,The Emovation Project,Strativity Group,,541611 Strategic planning consulting services,,54,,,"Professional, Scientific, and Technical Services",28.542111,-81.37903,Florida,Orange,Orlando,12095
1214,"Princeton, New Jersey, United States","Director, Downstream Process Development and Manufacturing Operations at AnaptysBio","Principal Scientist, Downstream Process Development at Patheon","University of Massachusetts, Amherst",Protein chemistry,Pennsylvania State,AnaptysBio,Patheon,325412 Zinc oxide medicinal preparations manufacturing,551112 Public utility holding companies,31-33,55,Manufacturing,69174.562,Management of Companies and Enterprises,40.348336,-74.668423,New Jersey,Mercer,,34021
1215,"King of Prussia, Pennsylvania, United States",Director of Business Development at CluePoints - The #1 RBQM Platform for Sponsors & CROs,"Director, Client Experience and Education at Greenphire",Penn State University,Aerospace Engineering,Pennsylvania State,CluePoints - The #1 RBQM Platform for Sponsors & CROs,Greenphire,,,,,,,,40.094762,-75.385133,Pennsylvania,Montgomery,Upper Merion Township,42091
1217,Raleigh-Durham-Chapel Hill ,Chief Operating Officer at Electrical Equipment Company (EECO),"Member, Board of Directors at Williams Supply Inc. - An EECO Company",2004–2005,Six Sigma Black Belt,Pennsylvania State,Electrical Equipment Company (EECO),Williams Supply Inc. - An EECO Company,,,,,,,,35.855048,-78.84066,North Carolina,Wake,,37183
1218,"Bellefonte, Pennsylvania, United States",Owner at Mammoth Restoration & Construction,Owner at Mammoth Restoration & Construction,Penn State University,Economics,Pennsylvania State,Mammoth Restoration & Construction,Mammoth Restoration & Construction,,,,,,,,40.913486,-77.773747,Pennsylvania,Centre,,42027
1219,"Arlington, Virginia, United States",Chief Financial Officer at 10Pearls,"Member at Envision Business Solutions, LLC",Penn State University,Accounting,Pennsylvania State,10Pearls,"Envision Business Solutions, LLC",,,,,,,,38.890396,-77.084158,Virginia,Arlington,Arlington,51013
1220, Harrisburg ,Chief Innovation Officer at PURIS Holdings,Global Plant Protein Strategy and Innovation at Ingredion Incorporated,Penn State University,Food Science,Pennsylvania State,PURIS Holdings,Ingredion Incorporated,,,,,,,,40.266311,-76.886112,Pennsylvania,Dauphin,Harrisburg,42043
1221,"Pittsburgh, Pennsylvania, United States",Co-Founder at Hedge Pay,Vice President at Penn State Interfraternity Council,Penn State University,Applied Statistics; Economics,Pennsylvania State,Hedge Pay,Penn State Interfraternity Council,,,,,,,,40.441694,-79.990086,Pennsylvania,Allegheny,Pittsburgh,42003
1222, Houston,Regional Information Security Officer - QualChoice at Catholic Health Initiatives,Regional Information Security Officer - East/Southeast Division at Catholic Health Initiatives,Penn State University,Management Information Systems,Pennsylvania State,Catholic Health Initiatives,Catholic Health Initiatives,622110 Osteopathic hospitals,,62,,Health Care and Social Assistance,76373.049,,29.758938,-95.367697,Texas,Harris,Houston,48201
1223,"Houston, Texas, United States","CTO - Digital Solutions, Baker Hughes at Baker Hughes",VP of Enterprise Engineering & Technology at Baker Hughes,1990–1992,Aerospace Engineering,Pennsylvania State,Baker Hughes,Baker Hughes,333914,,31-33,,Manufacturing,69174.562,,29.758938,-95.367697,Texas,Harris,Houston,48201
1224,"New York, New York, United States","VP, Product Design at Slice","Director, Product Design at Stash",Penn State University,Cognitive & Behavioral Psychology,Pennsylvania State,Slice,Stash,"424470 Processed meats (e.g., luncheon, sausage) merchant wholesalers",522320 U.S. Central Credit Union,42,52,Wholesale Trade,68623.359,Finance and Insurance,40.712728,-74.006015,New York,,New York,36061
1225,New York City  ,Vice President | Head of Strategic Partnerships at Eigen Technologies,Director | Global Account Management at Eigen Technologies,Penn State University,Economics; Business minor,Pennsylvania State,Eigen Technologies,Eigen Technologies,,,,,,,,40.712728,-74.006015,New York,,New York,36061
1226,"New York, New York, United States",CEO & Co-Founder  at Medmo,Director of Commercial Finance & Strategy  at Axiom,Penn State University,Finance,Pennsylvania State,Medmo,Axiom,,,,,,,,40.712728,-74.006015,New York,,New York,36061
1228,"Santa Ana, California, United States",Senior Marketing Manager at ADG,Senior Marketing Manager at Greenwave Systems,+ 1 more,Business / Marketing,Pennsylvania State,ADG,Greenwave Systems,551112 Public utility holding companies,,55,,Management of Companies and Enterprises,82055.219,,33.749495,-117.873221,California,Orange,Santa Ana,06059
1229,"Naperville, Illinois, United States","Vice President, Strategy & Planning at North Shore-Edward-Elmhurst Health",Director of eHealth at Edward Hospital & Health Services,University of Illinois at Urbana-Champaign,Marketing and Industrial Relations,Pennsylvania State,North Shore-Edward-Elmhurst Health,Edward Hospital & Health Services,,,,,,,,41.77287,-88.147928,Illinois,DuPage,Naperville,17043
1230, Philadelphia,Director Of Operations at Compass,Principal at Jryder LLC,Villanova University,"Business Administration and Management, General",Pennsylvania State,Compass,Jryder LLC,"722511 Steak houses, full service",,72,,Accommodation and Food Services,44945.819,,39.952724,-75.163526,Pennsylvania,Philadelphia,Philadelphia,42101
1231,"Beaumont, Texas, United States",President/CEO at Lamar Institute of Technology,President/CEO at Clover Park Technical College,University of Southern California,Training (Postdoctoral) - Strategic Business Management,Pennsylvania State,Lamar Institute of Technology,Clover Park Technical College,"611210 Schools, junior college vocational",,61,,Educational Services,67390.465,,30.086046,-94.101846,Texas,Jefferson,Beaumont,48245
1232,"Downingtown, Pennsylvania, United States","VP of Global Operations, Jadak Technologies at Novanta Inc.",Sr. Manager at Thermo Fisher Scientific,Penn State University,Industrial Engineering,Pennsylvania State,Novanta Inc.,Thermo Fisher Scientific,"334510 Ultrasonic scanning devices, medical, manufacturing",,31-33,,Manufacturing,69174.562,,40.008725,-75.699022,Pennsylvania,Chester,,42029
1233,"Royersford, Pennsylvania, United States",COO at The Dunn Group,,Penn State University,Business; Labor & Industrial Relations,Pennsylvania State,The Dunn Group,,"236220 Warehouse, industrial, construction",,23,,Construction,64648.972,,40.185085,-75.538414,Pennsylvania,Montgomery,,42091
1234,"Mill Valley, California, United States",Head of Global Innovation Activations at Visa,President and Founder at HMR Management Group,"University of California, Berkeley - Walter A. Haas School of Business",Industrial Engineering,Pennsylvania State,Visa,HMR Management Group,522320 U.S. Central Credit Union,,52,,Finance and Insurance,80163.492,,37.906037,-122.544976,California,Marin,,06041
1236,"Wayne, Pennsylvania, United States","Chief Financial Officer at KMRD Partners, Inc.",President of Plymouth Meeting Office at USI Insurance Services,1987–1991,Taxation,Pennsylvania State,"KMRD Partners, Inc.",USI Insurance Services,541611 Strategic planning consulting services,,54,,"Professional, Scientific, and Technical Services",77645.346,,40.044015,-75.387862,Pennsylvania,Delaware,Radnor Township,42045
1237,Atlanta  ,"Senior Director, Technology Strategy & Support Services at Inspire Brands","Director, Technology Strategy & Support Services at Inspire Brands",2009–2011,Master's of Business Administration,Pennsylvania State,Inspire Brands,Inspire Brands,,,,,,,,33.748992,-84.390264,Georgia,Fulton,Atlanta,13121
1239,"Houston, Texas, United States",Gasoline Naphtha Trading Desk at Glencore,Crude Oil Trading Desk at Glencore,Penn State University,Petroleum and Natural Gas Engineering,Pennsylvania State,Glencore,Glencore,523120 Stock options brokerages,,52,,Finance and Insurance,80163.492,,29.758938,-95.367697,Texas,Harris,Houston,48201
1242,"New York, New York, United States",Founder/CEO/Chairman at Simulmedia,Board Director at A. H. Belo,The Dickinson School of Law,Law,Pennsylvania State,Simulmedia,A. H. Belo,711320 Wrestling event promoters without facilities,,71,,"Arts, Entertainment, and Recreation",51732.192,,40.712728,-74.006015,New York,,New York,36061
1243, Pittsburgh ,"Senior Manager, Hardware Engineering at Gecko Robotics, Inc.",Director of Engineering at Powerex Inc.,University of Pittsburgh,Electrical Engineering,Pennsylvania State,"Gecko Robotics, Inc.",Powerex Inc.,333999 Weather vanes manufacturing,,31-33,,Manufacturing,69174.562,,40.441694,-79.990086,Pennsylvania,Allegheny,Pittsburgh,42003
1244,"Allentown, Pennsylvania, United States",Innovation  Director at ITW,Engineering Manager at Greene Tweed & Co,Northeastern University,"Business Administration and Management, Innovation and Entrepreneurship",Pennsylvania State,ITW,Greene Tweed & Co,551112 Public utility holding companies,,55,,Management of Companies and Enterprises,82055.219,,40.602206,-75.471279,Pennsylvania,Lehigh,Allentown,42077
1245, Philadelphia,"IT Director, Strategic Initiatives at Liberty Coca-Cola Beverages","Vice President, Business and Product Development at eBest Mobile",Penn State University,"Business Administration and Management, General",Pennsylvania State,Liberty Coca-Cola Beverages,eBest Mobile,"311930 Syrup, flavoring (except coffee based), manufacturing",,31-33,,Manufacturing,69174.562,,39.952724,-75.163526,Pennsylvania,Philadelphia,Philadelphia,42101
1246,"Fort Collins, Colorado, United States",Head of America's Supply Chain at Signify,Vice President of America's Supply Chain & Customer Service at Philips Lighting,University of Pennsylvania - The Wharton School,Executive Mangement Course,Pennsylvania State,Signify,Philips Lighting,551112 Public utility holding companies,,55,,Management of Companies and Enterprises,82055.219,,40.550853,-105.066808,Colorado,Larimer,Fort Collins,08069
1247,"Houston, Texas, United States",VP Operations at NRG Energy,Director - Global Energy Strategy at Alcoa,University of Tennessee-Knoxville,"Business Administration and Management, General",Pennsylvania State,NRG Energy,Alcoa,"221118 Power generation, tidal electric",,22,,Utilities,84207.831,,29.758938,-95.367697,Texas,Harris,Houston,48201
1248,"Ladera Ranch, California, United States",Head of Product Marketing - Amazon Automotive at Amazon,Worldwide Industry Marketing Leader (CMO) at Amazon Web Services,2001–2003,Marketing,Pennsylvania State,Amazon,Amazon Web Services,454110,,44-45,,Retail Trade,56013.266,,33.551017,-117.63854,California,Orange,,06059
1249,Los Angeles  ,Head of Data at GoodRx,"Vice President, BI, Data Science & Advanced Analytics at Fandango",2003–2006,Industrial Engineering (Operations Research),Pennsylvania State,GoodRx,Fandango,518210 Web hosting,,51,,Information,73855.595,,34.053691,-118.242766,California,Los Angeles,Los Angeles,06037
1250,"Annandale, New Jersey, United States","Vice President, Strategy at Ingersoll Rand","Director, Corporate Strategy at Ingersoll Rand",University of Pennsylvania - The Wharton School,Mechanical Engineering,Pennsylvania State,Ingersoll Rand,Ingersoll Rand,"333415 Water (i.e., drinking) coolers, mechanical, manufacturing",,31-33,,Manufacturing,69174.562,,40.647886,-74.886609,New Jersey,Hunterdon,,34019
1251, Philadelphia,Practice Operations Manager  at Private Healthcare Provider,Practice Manager at Private Practice,Penn State University,,Pennsylvania State,Private Healthcare Provider,Private Practice,,,,,,,,39.952724,-75.163526,Pennsylvania,Philadelphia,Philadelphia,42101
1252,"Jersey City, New Jersey, United States",VP of People Operations at Rhino,"Director of Talent, Diversity and Inclusion - Americas at Kering",Penn State University,"International Politics, Chinese Language",Pennsylvania State,Rhino,Kering,"424720 Petroleum and petroleum products merchant wholesalers (except bulk stations, terminals)",,42,,Wholesale Trade,68623.359,,40.721568,-74.047455,New Jersey,Hudson,Jersey City,34017
1253,"New York, New York, United States",Managing Director at McLaren Strategic Ventures,Volunteer + Consulting at Wells Fargo + Bank Al Jazira,Penn State University,Economics,Pennsylvania State,McLaren Strategic Ventures,Wells Fargo + Bank Al Jazira,,,,,,,,40.712728,-74.006015,New York,,New York,36061
1254,"Tampa, Florida, United States",Managing Partner at Whitecap Sports Group,,Penn State University,,Pennsylvania State,Whitecap Sports Group,,,,,,,,,27.94776,-82.458444,Florida,Hillsborough,Tampa,12057
