current_location,current_work,previous_work,latest_Education,majro,search_school,Unnamed: 0
"Oxnard, California, United States","Director, Learning Support Services/Chief Technology Officer at OXNARD UNION HIGH SCHOOL DISTRICT","Dean at Pleasant Valley School District, Camarillo",2000–2001,Education,"University of California, Riverside",
500+ connections,Graduate Counselor of Professional Programs at UC Irvine Donald Bren School of Information and Computer Sciences,Executive Chair at GBSSA,Gies College of Business - University of Illinois Urbana-Champaign,Global Business Challenges,"University of California, Riverside",
"Madrid, Community of Madrid, Spain",Digital Marketing Specialist at AB Tasty,Media Coordinator at Quigley-Simpson,"University of California, Riverside","Marketing, Public Relations, and Applied Communication","University of California, Riverside",
500+ connections,Senior Product Manager at ViacomCBS,Product Manager at ViacomCBS,"University of California, Irvine - The Paul Merage School of Business",Marketing,"University of California, Riverside",
"Mountain View, California, United States",Senior Vice President at Samsung Electronics America,Vice President at Samsung Electronics,UC Riverside,"Business Administration and Management, General","University of California, Riverside",
"San Diego, California, United States","SVP Strategy & Marketing, Informa Markets Fashion at Informa Markets",Senior Vice President Marketing at Freeman Company,"University of California, Riverside",Psychology/Biology,"University of California, Riverside",
"Tokyo, Tokyo, Japan",Digital Transformation Manager at SAP,Senior Global Account Manager at SAP,2001–2001,Economics,"University of California, Riverside",
"Orange County, California, United States","Executive Director, Operations and Capital Projects, Office of the Vice Chancellor, Health Affairs at UC Irvine","Director of Operations and Accreditation, School of Nursing at UC Irvine",Capella University,Health/Health Care Administration/Management,"University of California, Riverside",
"Salisbury, Maryland, United States",General Manager at Delmarva Shorebirds,Vice President/General Manager at Bakersfield Blaze Professional Baseball,1994–1998,,"University of California, Riverside",
"Downey, California, United States",Senior Director of Operations at Biola University,"Manager of Financial Affairs, Strategy and Communications at Biola University",Biola University Crowell School of Business,Spiritual Formation and Soul Care,"University of California, Riverside",
"Los Angeles, California, United States","Director Of Business Development at Wood, Smith, Henning & Berman LLP","Business Development | Audit | Sr. Supervising Paralegal | Office Administrator  at Wood, Smith, Henning & Berman LLP","University of California, Riverside",Associate in Risk Mangement,"University of California, Riverside",
"Los Angeles, California, United States",Vice President - Application Senior Administrator at City National Bank,Vice President - System Administrator IV at City National Bank,"University of California, Riverside","Business Administration, Accounting & Audit","University of California, Riverside",
500+ connections,San Francisco Bay Area,Digital Marketing Manager | eCommerce at SMART Wireless Computing,"University of California, Riverside",Business Managerial Econmics minor in Marketing,"University of California, Riverside",
"Gurgaon, Haryana, India",Head Of Sales at Pixis,Business Head at XY-ADS,California State University-San Bernardino,Marketing,"University of California, Riverside",
"Orange County, California, United States",National Transportation Manager at Bedrosians Tile and Stone DBA Paragon Trucking,Transportation Manager at Ted Levine Drum Co,California State University-Dominguez Hills,Global Logistics,"University of California, Riverside",
"Orange County, California, United States",Product Marketing Manager - Audio & Accessories at VIZIO,Associate Product Marketing Manager - Audio at VIZIO,"University of California, Riverside",Business Administration - Marketing,"University of California, Riverside",
"Riverside, California, United States",Sales Director at Thermo Fisher Scientific,Health Systems Executive at Thermo Fisher Scientific,La Sierra University,General Management,"University of California, Riverside",
500+ connections,Station Operations Manager at Amazon,Supplier Performance Manager at Safran,"University of California, Irvine - The Paul Merage School of Business",Strategy and Operations and Decision Technologies,"University of California, Riverside",
"Los Angeles, California, United States","Director of Business Development, Integrated Partnerships at Smule, Inc.","Director of Community Marketing and Communications at Smule, Inc.","University of California, Riverside",History,"University of California, Riverside",
San Francisco Bay Area,Office Managing Partner at MGO (Macias Gini & O'Connell LLP),"Partner at Benjamin & Young, LLP","University of California, Riverside - A. Gary Anderson Graduate School of Management",Accounting and Finance,"University of California, Riverside",
"Omaha, Nebraska, United States","Partner at Priority Technologies, LLC","Partner at Priority Solutions, LLC","University of California, Riverside",Law,"University of California, Riverside",
"Rancho Cucamonga, California, United States",Owner at Tomberlin Law,"Associate Attorney at The Myers Law Group, LLP",Washington University in St. Louis School of Law,Law,"University of California, Riverside",
"Los Angeles, California, United States","Associate Strategic Marketing Manager, Epson America at Epson America Inc.",Strategic Brand Marketing Manager at Sigue Corporation,"University of California, Riverside",Political Science Administrative Studies with an emphasis in Marketing,"University of California, Riverside",
"Oak Park, California, United States","Vice President, Risk Management & Safety at BETA Healthcare Group",Director Risk Management/Patient Safety at BETA Healthcare Group,University of Illinois College of Medicine,Safety Leadership,"University of California, Riverside",
500+ connections,"Institutional Research Analyst at University of California, Riverside",Smart Port Hackathon at Métropole Aix-Marseille-Provence,"University of California, Riverside",Sociology,"University of California, Riverside",
"Mountain View, California, United States","Director Program Management, Business Technology at Zenefits",Sr. Manager PMO - R&D at Zenefits,"University of California, Riverside",Information Technology,"University of California, Riverside",
"Irvine, California, United States","Associate Project Manager, Information Security at Fox Corporation",Information Security Analyst at CoreLogic,"University of California, Riverside",Business Administration and Computer Science,"University of California, Riverside",
