current_location,current_work,previous_work,latest_Education,major,search_school,current_company,previous_company,current_company_industry,previous_company_industry,current_NAICS,previous_NAICS,current_NAICS_title,current_avg_salary,previous_NAICS_title,latitude,longitude,state,county,city,fips
"Irvine, California, United States",Director of Software Engineering at Cox Automotive,"Senior Director, Product Engineering at Kelley Blue Book","University of California, Riverside",Computer Science,"University of California, Riverside",Cox Automotive,Kelley Blue Book,"423110 Vehicles, recreational, merchant wholesalers",511120 Trade magazine and periodical publishers and printing combined,42,51,Wholesale Trade,68623.359,Information,33.685697,-117.825982,California,Orange,Irvine,06059
"Chino, California, United States","Director Of Logistics at Tawa Supermarket, Inc.",Associate Director Of Operations at Best Choice Products,"University of California, Riverside",Business Administration (General Management),"University of California, Riverside","Tawa Supermarket, Inc.",Best Choice Products,"311412 Whipped topping, frozen, manufacturing",454110,31-33,44-45,Manufacturing,69174.562,Retail Trade,34.013356,-117.690075,California,San Bernardino,,06071
"Vancouver, British Columbia, Canada",People Business Partner  at ReCharge Payments,Talent Acquisition Partner at ReCharge Payments,Canadian School of Natural Nutrition,,"University of California, Riverside",ReCharge Payments,ReCharge Payments,,,,,,,,49.260872,-123.113952,British Columbia,Metro Vancouver Regional,Vancouver,nan
,"Manager, Product Management at Ingram Micro","Product Manager, Global Cloud at Ingram Micro","University of California, Irvine - The Paul Merage School of Business","Business Strategy, Marketing","University of California, Riverside",Ingram Micro,Ingram Micro,"423430 Software, computer, packaged, merchant wholesalers","423430 Software, computer, packaged, merchant wholesalers",42,42,Wholesale Trade,68623.359,Wholesale Trade,,,,,,nan
"Aliso Viejo, California, United States","Director, IT Finance & Shared Services at Edwards Lifesciences","Director, ERP Applications  at International Vitamin Corporation",1988–1992,Business Administration,"University of California, Riverside",Edwards Lifesciences,International Vitamin Corporation,"339113 Whirlpool baths (i.e., hydrotherapy equipment) manufacturing",325412 Zinc oxide medicinal preparations manufacturing,31-33,31-33,Manufacturing,69174.562,Manufacturing,33.576138,-117.725812,California,Orange,,06059
"Pittsburg, California, United States",Director Of Facilities Management & Information Technology at Pittsburg Unified School District,Vice President of Marketing  & General Manager of Operation at Ceed Security Corporation,College of Southern Idaho,Facilities Planning and Management,"University of California, Riverside",Pittsburg Unified School District,Ceed Security Corporation,"611110 Seminaries, below university grade",,61,,Educational Services,67390.465,,38.018174,-121.890123,California,Contra Costa,,06013
"Yorba Linda, California, United States",Director Product Strategy and Research at Pacific Life,Marketing Research Manager at Pacific Life,"University of California, Riverside","Business Administration and Management, General","University of California, Riverside",Pacific Life,Pacific Life,524210 Life insurance agencies,524210 Life insurance agencies,52,52,Finance and Insurance,80163.492,Finance and Insurance,33.89011,-117.82497,California,Orange,,06059
"Lancaster, Texas, United States",Owner at Butler & Butler Construction/Masonry,,"University of California, Riverside",,"University of California, Riverside",Butler & Butler Construction/Masonry,,,,,,,,,32.59208,-96.756108,Texas,Dallas,,48113
"San Jose, California, United States",Program Manager - Growth Marketing at McAfee,Project Manager - Device Management & Engineering at Adobe,"University of California, Riverside","Liberal Arts and Sciences, General Studies and Humanities - Sociology Emphasis","University of California, Riverside",McAfee,Adobe,561621 Security system monitoring services,"511210 Utility software, computer, packaged",56,51,Administrative and Support and Waste Management and Remediation Services,64366.438,Information,37.33619,-121.890583,California,Santa Clara,San Jose,06085
Los Angeles  ,Account Manager - Ad Operations at Hulu,"Associate Manager, Partnership Marketing at Teleflora","University of California, Riverside",Business Administration,"University of California, Riverside",Hulu,Teleflora,213111 Workover of oil and gas wells on a contract basis,999990,21,99,"Mining, Quarrying, and Oil and Gas Extraction",69910.58,"Federal, State, and Local Government, excluding state and local schools and hospitals and the U.S. Postal Service (OEWS Designation)",34.053691,-118.242766,California,Los Angeles,Los Angeles,06037
Costa Rica,Gerente de producción at Puratos de Costa Rica,gerente de operaciones at Puratos,Ucr,,"University of California, Riverside",Puratos de Costa Rica,Puratos,311812 Unleavened bread made in commercial bakeries,999990,31-33,99,Manufacturing,69174.562,"Federal, State, and Local Government, excluding state and local schools and hospitals and the U.S. Postal Service (OEWS Designation)",10.273563,-84.07391,,,,nan
"Santa Ana, California, United States",Engineering Manager at Homepoint,Director of IT Program Management at Kind Lending,"University of California, Los Angeles",Project Management,"University of California, Riverside",Homepoint,Kind Lending,,522390 Travelers' check issuance services,,52,,,Finance and Insurance,33.749495,-117.873221,California,Orange,Santa Ana,06059
"Orange County, California, United States",Vice President at Psomas,"Market Director, Transportation at Harris & Associates",California State Polytechnic University-Pomona,Civil Engineering,"University of California, Riverside",Psomas,Harris & Associates,541330 Traffic engineering consulting services,541310 Building architectural design services,54,54,"Professional, Scientific, and Technical Services",77645.346,"Professional, Scientific, and Technical Services",33.750038,-117.870493,California,Orange,,06059
"Palmdale, California, United States",Environmental Resources Manager at City of Palmdale,Environmental Project Development Coordinator at City of Santa Clarita,UC Riverside,Environmental Science,"University of California, Riverside",City of Palmdale,City of Santa Clarita,"921110 President's office, United States",624120 Senior citizens centers,92,62,,,Health Care and Social Assistance,34.579313,-118.117111,California,Los Angeles,Palmdale,06037
"Portland, Oregon  ",Director Sales Operations at PK,Product Manager at CommonSense HOA,Penn State University,Finance and Logistics,"University of California, Riverside",PK,CommonSense HOA,"326121 Tube, nonrigid plastics, manufacturing",,31-33,,Manufacturing,69174.562,,45.520247,-122.674195,Oregon,Multnomah,Portland,41051
"Littleton, Colorado, United States",Director of Advanced Analytics at Viasat,SVP at Centris Marketing Science,Northwestern University,Economics,"University of California, Riverside",Viasat,Centris Marketing Science,"517919 VoIP service providers, using client-supplied telecommunications connections",,51,,Information,73855.595,,39.613321,-105.016649,Colorado,Arapahoe,Littleton,08005
"New York, New York, United States","Regional Marketing Manager, Americas (US, Canada, Brazil) at Aesop","Retail Marketing Manager, Americas (US, Canada, Brazil) at Aesop","University of California, Riverside",Business Administration,"University of California, Riverside",Aesop,Aesop,446120 Perfume stores,446120 Perfume stores,44-45,44-45,Retail Trade,56013.266,Retail Trade,40.712728,-74.006015,New York,,New York,36061
"Carlsbad, California, United States",VP Multifamily at Sunrun,VP Strategic Relations at Mpower Communications Inc,"University of California, Los Angeles",Law,"University of California, Riverside",Sunrun,Mpower Communications Inc,423720 Water softening and conditioning equipment merchant wholesalers,,42,,Wholesale Trade,68623.359,,33.158093,-117.350597,California,San Diego,Carlsbad,06073
"Sacramento, California, United States",Founder at Banyan Properties,,"University of California, Riverside","Business Administration and Management, General","University of California, Riverside",Banyan Properties,,"531210 Selling real estate for others (i.e., agents, brokers)",,53,,Real Estate and Rental and Leasing,60268.137,,38.581061,-121.493895,California,Sacramento,Sacramento,06067
Los Angeles  ,Director of Purchasing and Quality Assurance at Ashtel Studios,Purchasing and QA Manager at Ashtel Studios,University of Southern California,"Business Administration and Management, Concentration in Marketing","University of California, Riverside",Ashtel Studios,Ashtel Studios,424210 Vitamins merchant wholesalers,424210 Vitamins merchant wholesalers,42,42,Wholesale Trade,68623.359,Wholesale Trade,34.053691,-118.242766,California,Los Angeles,Los Angeles,06037
Los Angeles  ,Senior Director Human Resources at Ashley Furniture Homestores,"Senior Manager, Human Resources Field & Operations at APL Logistics",University of Redlands,Global Business,"University of California, Riverside",Ashley Furniture Homestores,APL Logistics,,488510 Shipping agents (freight forwarding),,48-49,,,Transportation and Warehousing,34.053691,-118.242766,California,Los Angeles,Los Angeles,06037
"San Diego, California, United States","Vice President of Biology at Entos, Inc","Executive Director of Translational Research at TP Therapeutics, Inc.","University of California, Riverside",Biochemistry,"University of California, Riverside","Entos, Inc","TP Therapeutics, Inc.",541410 Interior designer services,,54,,"Professional, Scientific, and Technical Services",77645.346,,32.71742,-117.162773,California,San Diego,San Diego,06073
United States,"Vice President, Global Sales Operations at Vocera Communications",Senior Director Sales Operations (Global) at Vocera Communications,Education (same page),Business Economics,"University of California, Riverside",Vocera Communications,Vocera Communications,334290 Traffic signals manufacturing,334290 Traffic signals manufacturing,31-33,31-33,Manufacturing,69174.562,Manufacturing,39.78373,-100.445882,,,,nan
Los Angeles  ,"Senior Vice President at Mega Western Sales, Inc.",Vice President at Morris Group International,"University of California, Riverside",Administrative Studies,"University of California, Riverside","Mega Western Sales, Inc.",Morris Group International,,"332321 Windows, metal, manufacturing",,31-33,,,Manufacturing,34.053691,-118.242766,California,Los Angeles,Los Angeles,06037
"Austin, Texas  ",Co-Owner at The Painted Porch Book Shop,Director of Marketing at American Apparel,"University of California, Riverside","Political Science, Creative Writing","University of California, Riverside",The Painted Porch Book Shop,American Apparel,,"315240 Windbreakers, women's, girls', and infants', cut and sewn from purchased fabric (except apparel contractors)",,31-33,,,Manufacturing,30.271129,-97.7437,Texas,Travis,Austin,48453
