,current_location,current_work,previous_work,latest_Education,major,search_school
1473,San Francisco Bay Area,CTO and Co-founder at Perform,Senior Software Engineering Manager at LinkedIn,"University of California, Berkeley, Haas School of Business",Entrepreneurship,Brown University
1474,"Brooklyn, New York, United States",Founder & CEO at ChalkTalk,Founder & CEO at International Standardized Testing Academy (exited),Brown University,,Brown University
1475,"Newton Centre, Massachusetts, United States",Co-Founder and CEO at ianacare,Inaugural Entrepreneur-in-Residence at Brown University,Kellogg School of Management,"Marketing, Operations",Brown University
1476,"New York, New York, United States",Founder at ABOVE STUDIO.CO,Ecommerce Product Manager at Shoclef Corporation Limited,Brown University,Entrepreneurship and Innovation,Brown University
1477,"Phoenix, Arizona, United States",President and CEO at Telgian,Sales Associate at The Home Depot,Brown University,Economics,Brown University
1478,"Minneapolis, Minnesota, United States",Co-founder at CrumplePop,Co-founder at Trost Motion,Brown University,Classics,Brown University
1479,"New York, New York, United States",President at Dr. Rossi DERM MD,Senior Vice President and General Manager: Retail Brands at Mana Products,1992–1996,"Theatre Arts, History of Art",Brown University
1480,"Paris, Île-de-France, France",Founder & CEO at EuroBusiness Media,Journalist at Bloomberg TV,1990–1994,Literature,Brown University
1481,San Francisco Bay Area,Chief Product Officer at TuneIn,"Principal Product Manager, Kindle Content at Amazon.com",Brown University,"Computer Science, honors",Brown University
1482,United States,Chief Operating Officer at Fly Louie,Director of Revenue Analytics at Blue Apron,Brown University,Applied Mathematics - Economics,Brown University
1483,"San Diego, California, United States","Founder & CEO, Rhymes with Reason⼁Forbes 30 Under 30 at Rhymes with Reason",Marketing/Operations Intern at Neighborhood House Association,2020–2022,Specialized Studies,Brown University
1484,"New York, New York, United States","Co-Founder, Co-CEO at Everplans",Advisor at Sportsvite.com,Brown University,Visual Arts,Brown University
1485,Washington DC-Baltimore Area,"Director, Strategic Growth & Innovation at Applied Materials","Director, Product Portfolio Management at Applied Materials",2000–2002,"Product Marketing, Technology Strategy, New Venture Development",Brown University
1486,"Ridgewood, New Jersey, United States",CEO at Cognam,Communications at Obama for America,1996–2001,Computer Science,Brown University
1487,Greater Chicago Area,Senior Engineering Manager at Farmer's Fridge,Engineering Manager at Trunk Club,2003–2007,International Relations; focus on Economics,Brown University
1488,"New York, New York, United States",Head of Platforms and Data Strategy at Kantar Insights NA,Head of Media and Digital Operations at Kantar Millward Brown,2006–2009,"Marketing, Strategy",Brown University
1489,San Francisco Bay Area,"Vice President of Sales, West at 6sense","RVP Sales, West at 6sense",Brown University,"Commerce, Organizations & Entrepreneurship",Brown University
1490,"Stanford, California, United States",Co-Founder and General Partner at Asimov Ventures,Visiting Scholar at University of Washington,Stanford University,Neuroscience,Brown University
1491,New York City Metropolitan Area,"Associate Director, Innovation at AbbVie",Consultant at Boston Consulting Group (BCG),"University of California, Berkeley",Chemistry,Brown University
1492,"San Francisco, California, United States",Head of Engineering for B2B & Platform  at Grammarly,CTO & Co-Founder at tEQuitable,2008–2008,Stanford Executive Institute '08,Brown University
1493,"San Francisco, California, United States",Senior Director Hardware Engineering at Samsara,Director Of Hardware Engineering at Samsara,Stanford University,Electrical Engineering,Brown University
1494,"Baltimore, Maryland, United States",President and CEO at Kennedy Krieger Institute,Neurologist in Chief at St. Louis Children's Hospital,Washington University School of Medicine in St. Louis,Neural Sciences,Brown University
1495,San Francisco Bay Area,International Growth - Business Ops Manager at Chegg Inc.,International Growth Lead at Chegg Inc.,Brown University,"Business Administration and Management, General",Brown University
1496,Greater Boston,Chief Operating Officer at Unison Site Management,Vice President - FP&A and Business Analytics at American Tower,Massachusetts Institute of Technology,International Relations,Brown University
1497,"Boston, Massachusetts, United States",VP of Global Product Marketing at Mendix,Senior Director Product Marketing at Mendix,1995–1999,Mathematics,Brown University
1498,"Providence, Rhode Island, United States","Co-Founder, CMO at Stack Influence",Co-Founder at OMstack,Brown University,BEO: Entrepreneurship and Biotechnology Management,Brown University
1499,"San Francisco, California, United States","Business Operations, Spaceports at Astra","Director, Strategy and Business Operations, Global Health Technology at Johnson & Johnson",Brown University,Neuroscience,Brown University
1500,"Houston, Texas, United States",Chief Port Security and Emergency Operations (PSEO) Officer at Port of Houston Authority,Various Assignments at U.S. Coast Guard,Cornell University,Communications/Immigration Policy,Brown University
1501,Turks and Caicos Islands,"Co-Founder, Head of Engineering at Alongside Finance","Co-Founder, Head of Product at Stream Club",Brown University,Computer Science,Brown University
1502,United States,"SVP, Strategy & Business Development at Bionaut Labs",Corporate Development at Amphivena Therapeutics Inc.,Brown University,Molecular Cell Biology & Biochemistry,Brown University
1503,"New York, New York, United States",Global Chief Financial Officer at IL MAKIAGE,"Managing Director, Technology and Consumer Equity Capital Markets at Goldman Sachs",Brown University,Computer Science,Brown University
1504,"Medford, Massachusetts, United States",President at Sentry Auto Group,President / board member at Weston Soccer Club,Harvard Business School,American Civilization,Brown University
1505,Greater Boston,"Global Head of Drug Substance Development, mRNA Center of Excellence at Sanofi","Vice President, Process and Analytical Development at Translate Bio, A Sanofi Company",1989–1993,Chemical Engineering,Brown University
1506,New York City Metropolitan Area,"SVP, Product at ActionIQ","Data Engineer, Big Data Platform at Two Sigma Investments",Brown University,Computer Science,Brown University
1507,"Canton, Massachusetts, United States","Owner, President, CEO  at Professional Electrical Contractors of Ct, Inc.",,2009–2011,Business,Brown University
1508,United Kingdom,Founder & Managing Director at Herbal Essentials,Managing Director at Harmony Cosmetics FZC,Brown University,Political Science & Economics,Brown University
1509,New York City Metropolitan Area,Chief Commercial Officer at Industrious,"GM, North America at Industrious",Brown University,Chemistry,Brown University
1510,Greater Chicago Area,Vice President Marketing at Freeosk,Chief of Staff to the CMO at Molson Coors Beverage Company,2009–2011,"Marketing, Strategic Management,  Entrepreneurship",Brown University
1511,"Cambridge, Massachusetts, United States",Associate Director of Machine Learning at Tripadvisor,Machine Learning Manager at TripAdvisor,Brown University,Cognitive Science,Brown University
1512,New York City Metropolitan Area,Chief Revenue Officer at BigID,"Vice President of Sales - US Enterprise at Rubrik, Inc.",Brown University,Business Economics,Brown University
1513,United States,Co-Founder at Tagg,Above and Beyond Software Engineering Fellowship at Facebook,Brown University,Computer Science,Brown University
1514,United States,Co-Founder at Tagg,Above and Beyond Software Engineering Fellowship at Facebook,Brown University,,Brown University
1515,"Washington, District of Columbia, United States",Deputy Chief Digital Engagement Officer at ACLU,Senior Advisor at REFORM Alliance,Brown University,History,Brown University
1516,"New York, New York, United States","Co-Founder, Chief Executive Officer at Kinvolved",E Lab Fellow at Columbia University in the City of New York,Brown University,Independent Concentration: Media and Society (Honors),Brown University
1517,"Boston, Massachusetts, United States",Head of Enterprise Marketing & Client Experience at Equitable,"VP, Retirement & Investment Product Marketing at TIAA",Yale University - Yale School of Management,International Relations,Brown University
1518,Greater Boston,Senior Principal Computer Vision Engineer at Soft Robotics Inc.,Principal Vision Engineer at Rethink Robotics,Brown University,Engineering,Brown University
1519,Washington DC-Baltimore Area,Deputy Chief Technology Officer - Health Delivery at U.S. Department of Veterans Affairs,Health Portfolio Lead at United States Digital Service,The Johns Hopkins University,"Health Communication, Business",Brown University
1520,"East Greenwich, Rhode Island, United States","Director, Product Management at Atomic",Product at Dandy,Brown University,"Commerce, Organizations, & Entrepreneurship",Brown University
